Puzzle,Solution,
...3.......8.5127..3.........6...32.2.1.8.76...4...5....21.5..8..38.2....7...6...,627349815948651273135728496786514329251983764394267581462175938513892647879436152,
9...6.3.1.5...9....6...2.7.27..5......9.2...38...9..57......195.....7.8....1.....,927568341154379628368412579276853914549721863831694257783246195615937482492185736,
4..6..51..7.......6....9.3...1.7..633...6.95..2..1.....34...17..95.....41.......5,483627519579381642612459738851974263347268951926513487234895176795136824168742395,
.....89.5.8.3....2......3...58..7.....7.6.....3...246.....7.65...9....7...39.....,372618945486395712195724386658437291247169538931582467814273659529846173763951824,
..5..16..7...............2..2..6.47.14.7...3...35..2..8.7..5...2....6.4.6..28....,485321697712659384369874521528163479146792835973548216837415962251936748694287153,
....15.2.1.284...3....6.....9....2...83...94..51....8.....9..1.6.4.5..9......2..8,369715824172849653548263179496587231783621945251934786837496512624158397915372468,
.9......5..1....4.758..4...........4..5..29..82.4.5..7.145...8.5..1.3..2.8.....9.,496218375231957846758364129967831254145672938823495617614529783579183462382746591,
.4..58729...3...4....71.8...72...........5.38..84..5...2.......985..7...1........,341658729857329146296714853572863491419275638638491572724986315985137264163542987,
.163..49.7...1....893.6.71..6......9.3869..7..7............5..8..4..89..9......4.,216387495745219386893564712162473859538691274479852631327945168654138927981726543,
3....8.6..7.4......1..52..7..52..4.......56.18...1.......8.......7..4...42.3.....,354178962276439518918652347165283479732945681849716235593861724687524193421397856,
6.24..7.89..7...51.8.......46..5...7.98.....6..1...............7...96........2.9.,652419738934768251187325964463951827598247316271683549819534672725196483346872195,
...2.....5..8...4..1..5.......4.6.9.2..9....8..6...7...6..9..2..8......5..1.7...4,647231859523869147819754236178426593235917468496385712764598321982143675351672984,
....1.58213.....4..92...7....4.2..3.31.9.4....8.....5....751......4.....97.......,647319582138572946592648713764825139315964827289137654426751398853496271971283465,
.......7..53...6.......2...8.5.29.4...26.....39...47..9.7..35......46.2.52..9..3.,689315274253478691714962385865729143472631859391854762947283516138546927526197438,
2.649..1843..8........53.46.......6.3....82.........595.......4.....1..2..934....,256497318437186925918253746785912463394568271162734859571829634843671592629345187,
........6..16..78........5.......8.4.893......7...4....34...1..61..8.54......5.7.,748591326351642789926738451265179834489356217173824965534267198617983542892415673,
.3.4..7..5.4...6....2.6.54.........3..69........74......73......9..15.7.26...9...,631458729584297631972163548749581263156932487328746195817324956493615872265879314,
85.........14....89.....21....7.85.442......1.......2..7.9.58..3...4...2.4.3.....,857231469261459378934876215619728534425693781783514926172965843398147652546382197,
.5......21..63...8.....4.....145....2..3.......8.1..2...4...2..3..72.8.5.6......3,456891732127635498983274651791452386245368917638917524574183269319726845862549173,
.......6..2.9.74..1..6.....682..1..7.41...6..9...5........89.....4....2.8....5..9,479528361326917458158634972682341597541792683937856214215489736794163825863275149,
.....2...91..7..........39......46.24.......7...1........7..4166.43.97....82..9..,546932871913875264827461395781594632495623187362187549239758416654319728178246953,
.........6.3.....2...2.4.53......72...7........89.2....2..5..6..96.8....85...7..4,542893617683715942179264853935148726217536489468972531724359168396481275851627394,
..1.5....49....7.....2.1.4.......43.3....65..954.........3........172...6.74.5...,821754963495638721763291845186527439372946518954813276248369157539172684617485392,
6..5..934....9..86....34.7..7.....4.....53.....2.4...858................34..8.2.7,621578934734291586895634172973812645468953721152746398586327419217469853349185267,
..4......39.7...4.817.6.......6..1.7..3..1..54....3.8...64.5...1.8...6...5.......,624358791395712846817964523582649137973821465461573982736495218148237659259186374,
17...98........3..83......7..1.4.......2......48....3.9....5...5...3.7.2...7.198.,174359826652487391839612457791543268365298174248176539917825643586934712423761985,
............4...5....7854.1.4.57.1.37..3.1.9...6.4...7.7.9..3...351............7.,584612739167493258923785461249576183758321694316849527472958316835167942691234875,
......6...3...9.78..85........9....7..3....8.46.8.52.3..5..67.....7...42.....8..5,529187634134629578678534921812963457953472186467815293285346719396751842741298365,
..........813.6....2..1.54.65...........8..53...14...88...3....142.......63491...,576924831481356972329817546658273419214689753937145628895732164142568397763491285,
...3.15..85..6........5..6........5..96...3....2..381.9.....1.7.6.....281..2...3.,679321584851467293234958761318672459596184372742593816925836147463715928187249635,
9....2.....6.....17..8..23.......7.9.3.21...5.....5.12....81..3...72.......3..65.,953162478286473591741859236512638749439217865867945312674581923395726184128394657,
...2.7....2.3..9.83....9..5.......3.4.........7.1.4.5..428..37.51..3.28.7........,954287163127365948386419725295678431461523897873194652642851379519736284738942516,
5.6.1...4.9..6..3...........4......6.7.3..21.......9....2.75....392.....46......9,526713894897462531314859672941527386678394215253681947182975463739246158465138729,
...........56.1......5.2.....6...47..94.17.62.2..6...32.....3...19724.5..4.9.5...,462893715985671234173542986836259471594317862721468593257186349319724658648935127,
.6...4...7....6....2..8.9.72......8...9...7.163.............2.4..8....3.4...9.61.,961274853783956142524183967215749386849635721637821495396518274178462539452397618,
278.5...6........7....1.3...13.2.7....5...8...6...........81...4....5...5.6....34,278953416139642587654718392913824765745196823862537941327481659491365278586279134,
7......2..16...4...4..3..7..2576..3..3...4..6.7..9..1.....4..69.............21.4.,793486125816572493542139678125768934938214756674395812251847369467953281389621547,
6...1..7...37..28.7.....1.52.....9.65....2.....6.5.....9..76.....12...........39.,625918473143765289789324165238147956574692831916853724392476518851239647467581392,
6.2...........1.......7.62...1...9...735...8.89.6..3.......8.5..3.1....9.....78.2,652834791987261534314975628261783945473519286895642317726498153538126479149357862,
.7..1..48.9...41..8..7...355....2....4..5..7.2...3....7..48..5....3.9...4........,672513948395824167814796235567942813943158672281637594726481359158379426439265781,
6..45.9....2.89..1.9......7.2.....9.5.....8.4.........4..89.6..9..7..1.5.7.....4.,613457928742689531895231467324518796569372814187946253451893672936724185278165349,
............8645..6...79..81.....35..........3759......4...16..56...3.4.7..5..9.1,839152764217864593654379218186427359492635187375918426943281675561793842728546931,
..78.5...2......8.96....4...4.57.......61.7.........6.61..2.......1...28....49..7,437865291251497386968231475146572839893614752725983164619728543374156928582349617,
..87......94.1..767.3...8...67.21...9...........436...1...92..7..2..7..........4.,628759431594813276713264895467921358931578624285436719146392587852147963379685142,
.82.3.....3..96...........4....859.6...3...21.9...2.854.8......369.........1.....,682437519134596278975821364241785936856349721793612485418973652369258147527164893,
.21543....547.......8..2.3.7.6..83....51..86........4.....2.........15.....35.2.8,921543786354786921678912435716498352245137869893265147537829614482671593169354278,
.8.....5.......8.7.......2317..245.....3.....53..7..4.2..76.......8.13..65...2.71,987213654321546897465987123179624538842395716536178249213769485794851362658432971,
...2..946......8...67..9...1.6.4.....42.7..1..79..8..3....1..2..2....1.........87,851237946293461875467589231186345792342976518579128463735814629628793154914652387,
..7.23.......6..8...4..............8..8...567.29......9..35..7......94.3.4...72..,567823194391465782284791635475136928138942567629578341912354876756289413843617259,
...4...8.416........9..5...7.2.86..18...52........4.98..4....162.15......7.......,527413689416298753389675142742986531893152467165734298954827316231569874678341925,
..3..7.8.2....6..3.7..5...1.2.9.....8..5...12....6..9..57.2....6.9718......6.....,563147289214896753978352641721984536896573412435261897357429168649718325182635974,
6.1...9..8.3.6.7.2..2......1.7.9.5........8......15..3....3.2.....9.8..1...1763..,641257938893461752572389146167893524935642817284715693718534269356928471429176385,
2.......4..5.93.678..2...5..54..7.86..3..4......6....3....3..9....782......4...2.,239576814145893267867241359954327186683914572721658943472135698596782431318469725,
.4.6...57...5...9..6..73.......37..5.16.....2..5....14....6....73..29.......5.2..,143692857287514396569873421924137685816945732375286914452368179731429568698751243,
23.....5.9.5...81..1....9..4...1...6...68..4...........21.985.3.4.12........56...,238941657975362814614875932457219386193687245862534179721498563546123798389756421,
